code,name,descr,lang_code,is_active,cr_by,cr_dtimes
CIN,Carte nationale d'identité,Carte nationale d'identité,fra,True,superadmin,now()
RNC,Bail locatif,Contrat de bail locatif,fra,True,superadmin,now()
COR,Certificat de résidence,Preuve de résidence,fra,True,superadmin,now()
CRN,Certificat de parenté,Preuve de relation avec la personne,fra,True,superadmin,now()
COB,Certificat de naissance,Preuve de naissance et âge d'une personne,fra,True,superadmin,now()
COE,Certificat d'invalidité,Certificat d'invalidité,fra,True,superadmin,now()
DOC001,Passeport,Passeport,fra,True,superadmin,now()
DOC002,Jugement supplétif,document juridique de naissance,fra,True,superadmin,now()
DOC003,Certificat de nationalité,document émis par les services étatiques surtout consulaires,fra,True,superadmin,now()
DOC004,Carte d’électeur,Carte d’électeur,fra,True,superadmin,now()
DOC005,Permis de conduire,Permis de conduire,fra,True,superadmin,now()
DOC006,Permis de travail,Permis de travail,fra,True,superadmin,now()
DOC007,Carte de sécurité sociale,Carte de sécurité sociale,fra,True,superadmin,now()
DOC008,Carte militaire,Carte de l'armée ou de la police,fra,True,superadmin,now()
DOC009,Carte de pension sociale,Carte de pension sociale,fra,True,superadmin,now()
DOC010,Carte consulaire,Carte consulaire,fra,True,superadmin,now()
DOC011,Certificat de mariage,Certificat de mariage,fra,True,superadmin,now()
DOC012,Facture de téléphone fixe,Facture téléphone fixe,fra,True,superadmin,now()
DOC013,Facture d’électricité des 3 derniers mois,Facture d’électricité des 3 derniers mois,fra,True,superadmin,now()
DOC014,Facture d’eau des 3 derniers mois,Facture d’eau des 3 derniers mois,fra,True,superadmin,now()
DOC015,Extrait de naissance,Document emis par les services d'Etat civil,fra,True,superadmin,now()
DOC016,Attestation médicale d'invalidité,Attestation médicale d'invalidité,fra,True,superadmin,now()
DOC017,Titre de séjour,Titre de séjour,fra,True,superadmin,now()
DOC018,Formulaire de consentement,Formulaire de consentement,fra,True,superadmin,now()
EOP,Photo de l'exception,Photo de l'exception,fra,True,superadmin,now()
